Report Type,Vintage,Project ID,Project Name,Project Type,Quantity of Credits,Serial Number,Sub-Account ID,Sub-Account Name
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,50,7059-367676034-367676083-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,830,7063-367702002-367702831-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433105835-433105944-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,821,7855-433086962-433087782-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,360,7945-443240515-443240874-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7964-444071437-444071437-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7777-426999609-426999609-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7777-426999610-426999610-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"3,571",7855-433048162-433051732-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"4,050",7855-433051733-433055782-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"8,369",7855-433060102-433068470-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"8,036",7855-433068471-433076506-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"5,000",7855-433076507-433081506-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7855-433084543-433084543-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,08/07/2015-07/07/2016,1811,Jari/Pará REDD+ Project,Agriculture Forestry and Other Land Use,"10,000",8035-449285248-449295247-VCU-005-MER-BR-14-1811-08072015-07072016-0,9464,MCO2 Supply
Report 1,01/01/2017-31/12/2017,332,Dori Alimentos Ltda - Biomass Based Project - Brazil,Energy industries (renewable/non-renewable sources),"9,966",7928-441971601-441981566-VCU-050-MER-BR-1-332-01012017-31122017-0,9464,MCO2 Supply
Report 1,01/01/2018-30/06/2018,332,Dori Alimentos Ltda - Biomass Based Project - Brazil,Energy industries (renewable/non-renewable sources),"5,555",7927-441966046-441971600-VCU-050-MER-BR-1-332-01012018-30062018-0,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433105945-433106054-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433106055-433106164-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433106165-433106274-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433106275-433106384-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,440,7856-433106385-433106824-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,440,7856-433106825-433107264-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,440,7856-433107265-433107704-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,440,7856-433107705-433108144-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,440,7856-433108145-433108584-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,300,7856-433108585-433108884-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,125,7856-433108885-433109009-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
